name,description,module,path,canonicalId
"brainstorming","Facilitate interactive brainstorming sessions using diverse creative techniques and ideation methods. Use when the user says help me brainstorm or help me ideate.","core","_evo/core/workflows/brainstorming/workflow.md","evo-brainstorming"
"party-mode","Orchestrates group discussions between all installed EVO agents, enabling natural multi-agent conversations. Use when user requests party mode.","core","_evo/core/workflows/party-mode/workflow.md","evo-party-mode"
"advanced-elicitation","Push the LLM to reconsider refine and improve its recent output. Use when the user asks for advanced elicitation.","core","_evo/core/workflows/advanced-elicitation/workflow.md","evo-advanced-elicitation"
"qa-generate-e2e-tests","Generate end to end automated tests for existing features. Use when the user says ""create qa automated tests for [feature]""","bmm","_evo/bmm/workflows/qa-generate-e2e-tests/workflow.md","evo-qa-generate-e2e-tests"
"create-product-brief","Create product brief through collaborative discovery. Use when the user says ""lets create a product brief"" or ""help me create a project brief""","bmm","_evo/bmm/workflows/1-analysis/create-product-brief/workflow.md","evo-create-product-brief"
"technical-research","Conduct technical research on technologies and architecture. Use when the user says ""create a technical research report on [topic]"".","bmm","_evo/bmm/workflows/1-analysis/research/workflow-technical-research.md","evo-technical-research"
"domain-research","Conduct domain and industry research. Use when the user says ""lets create a research report on [domain or industry]""","bmm","_evo/bmm/workflows/1-analysis/research/workflow-domain-research.md","evo-domain-research"
"market-research","Conduct market research on competition and customers. Use when the user says ""create a market research report about [business idea]"".","bmm","_evo/bmm/workflows/1-analysis/research/workflow-market-research.md","evo-market-research"
"quick-dev","Implement a Quick Tech Spec for small changes or features. Use when the user provides a quick tech spec and says ""implement this quick spec"" or ""proceed with implementation of [quick tech spec]""","bmm","_evo/bmm/workflows/evo-quick-flow/quick-dev/workflow.md","evo-quick-dev"
"quick-spec","Very quick process to create implementation-ready quick specs for small changes or features. Use when the user says ""create a quick spec"" or ""generate a quick tech spec""","bmm","_evo/bmm/workflows/evo-quick-flow/quick-spec/workflow.md","evo-quick-spec"
"document-project","Document brownfield projects for AI context. Use when the user says ""document this project"" or ""generate project docs""","bmm","_evo/bmm/workflows/document-project/workflow.md","evo-document-project"
"generate-project-context","Create project-context.md with AI rules. Use when the user says ""generate project context"" or ""create project context""","bmm","_evo/bmm/workflows/generate-project-context/workflow.md","evo-generate-project-context"
"create-ux-design","Plan UX patterns and design specifications. Use when the user says ""lets create UX design"" or ""create UX specifications"" or ""help me plan the UX""","bmm","_evo/bmm/workflows/2-plan-workflows/create-ux-design/workflow.md","evo-create-ux-design"
"validate-prd","Validate a PRD against standards. Use when the user says ""validate this PRD"" or ""run PRD validation""","bmm","_evo/bmm/workflows/2-plan-workflows/create-prd/workflow-validate-prd.md","evo-validate-prd"
"create-prd","Create a PRD from scratch. Use when the user says ""lets create a product requirements document"" or ""I want to create a new PRD""","bmm","_evo/bmm/workflows/2-plan-workflows/create-prd/workflow-create-prd.md","evo-create-prd"
"edit-prd","Edit an existing PRD. Use when the user says ""edit this PRD"".","bmm","_evo/bmm/workflows/2-plan-workflows/create-prd/workflow-edit-prd.md","evo-edit-prd"
"check-implementation-readiness","Validate PRD, UX, Architecture and Epics specs are complete. Use when the user says ""check implementation readiness"".","bmm","_evo/bmm/workflows/3-solutioning/check-implementation-readiness/workflow.md","evo-check-implementation-readiness"
"create-epics-and-stories","Break requirements into epics and user stories. Use when the user says ""create the epics and stories list""","bmm","_evo/bmm/workflows/3-solutioning/create-epics-and-stories/workflow.md","evo-create-epics-and-stories"
"create-architecture","Create architecture solution design decisions for AI agent consistency. Use when the user says ""lets create architecture"" or ""create technical architecture"" or ""create a solution design""","bmm","_evo/bmm/workflows/3-solutioning/create-architecture/workflow.md","evo-create-architecture"
"code-review","Perform adversarial code review finding specific issues. Use when the user says ""run code review"" or ""review this code""","bmm","_evo/bmm/workflows/4-implementation/code-review/workflow.md","evo-code-review"
"create-story","Creates a dedicated story file with all the context the agent will need to implement it later. Use when the user says ""create the next story"" or ""create story [story identifier]""","bmm","_evo/bmm/workflows/4-implementation/create-story/workflow.md","evo-create-story"
"correct-course","Manage significant changes during sprint execution. Use when the user says ""correct course"" or ""propose sprint change""","bmm","_evo/bmm/workflows/4-implementation/correct-course/workflow.md","evo-correct-course"
"dev-story","Execute story implementation following a context filled story spec file. Use when the user says ""dev this story [story file]"" or ""implement the next story in the sprint plan""","bmm","_evo/bmm/workflows/4-implementation/dev-story/workflow.md","evo-dev-story"
"sprint-status","Summarize sprint status and surface risks. Use when the user says ""check sprint status"" or ""show sprint status""","bmm","_evo/bmm/workflows/4-implementation/sprint-status/workflow.md","evo-sprint-status"
"sprint-planning","Generate sprint status tracking from epics. Use when the user says ""run sprint planning"" or ""generate sprint plan""","bmm","_evo/bmm/workflows/4-implementation/sprint-planning/workflow.md","evo-sprint-planning"
"retrospective","Post-epic review to extract lessons and assess success. Use when the user says ""run a retrospective"" or ""lets retro the epic [epic]""","bmm","_evo/bmm/workflows/4-implementation/retrospective/workflow.md","evo-retrospective"
